Sno,Entity,Code,Year,Population,Mobile Subscriptions,Smartphone Users(%),No. of Smartphone Users,Fixed Broadband Subscriptions
0,United States,USA,1980,227225000,10000000,15,34083750,5000000
1,United States,USA,1981,229465000,12000000,18,41303700,6000000
2,United States,USA,1982,231664000,15000000,22,50966080,8000000
3,United States,USA,1983,233792000,18000000,25,58448000,9000000
4,United States,USA,1984,235825000,20000000,28,65930000,10000000
5,United States,USA,1985,237924000,22000000,30,71377200,11000000
6,United States,USA,1986,240133000,24000000,33,79239690,12000000
7,United States,USA,1987,242289000,26000000,36,87102180,13000000
8,United States,USA,1988,244499000,28000000,38,94964670,14000000
9,United States,USA,1989,246819000,30000000,40,102727560,15000000
10,United States,USA,1990,249623000,32000000,42,110490450,16000000
